set_number,name,piece_count,image_url
8019,Republic Attack Shuttle,636,https://images.brickset.com/sets/small/8019-1.jpg?200812111117
8028,TIE Fighter,44,https://images.brickset.com/sets/small/8028-1.jpg?200808030513
8029,Mini Snowspeeder,66,https://images.brickset.com/sets/small/8029-1.jpg?200811030333
8031,V-19 Torrent,66,https://images.brickset.com/sets/small/8031-1.jpg?200809130416
8033,General Grievous' Starfighter,44,https://images.brickset.com/sets/small/8033-1.jpg?200901170359
8036,Separatist Shuttle,259,https://images.brickset.com/sets/small/8036-1.jpg?200905210339
8037,Anakin's Y-wing Starfighter,570,https://images.brickset.com/sets/small/8037-1.jpg?200905210339
8038,The Battle of Endor,890,https://images.brickset.com/sets/small/8038-1.jpg?200905200857
8039,Venator-class Republic Attack Cruiser,1170,https://images.brickset.com/sets/small/8039-1.jpg?200901100449
8083,Rebel Trooper Battle Pack,79,https://images.brickset.com/sets/small/8083-1.jpg?200912120107
8084,Snowtrooper Battle Pack,74,https://images.brickset.com/sets/small/8084-1.jpg?200912120107
8085,Freeco Speeder,177,https://images.brickset.com/sets/small/8085-1.jpg?200912120706
8086,Droid Tri-Fighter,268,https://images.brickset.com/sets/small/8086-1.jpg?200912130333
8087,TIE Defender,304,https://images.brickset.com/sets/small/8087-1.jpg?200912120107
8088,ARC-170 Starfighter,396,https://images.brickset.com/sets/small/8088-1.jpg?200912130333
8089,Hoth Wampa Cave,297,https://images.brickset.com/sets/small/8089-1.jpg?201004280530
8091,Republic Swamp Speeder,176,https://images.brickset.com/sets/small/8091-1.jpg?200912120337
8092,Luke's Landspeeder,163,https://images.brickset.com/sets/small/8092-1.jpg?200912210246
8093,Plo Koon's Jedi Starfighter,175,https://images.brickset.com/sets/small/8093-1.jpg?201004280530
8095,General Grievous' Starfighter,454,https://images.brickset.com/sets/small/8095-1.jpg?201004280530
8096,Emperor Palpatine's Shuttle,592,https://images.brickset.com/sets/small/8096-1.jpg?201004280820
8097,Slave I,573,https://images.brickset.com/sets/small/8097-1.jpg?201004280530
8098,Clone Turbo Tank,1141,https://images.brickset.com/sets/small/8098-1.jpg?201004280530
8099,Midi-scale Imperial Star Destroyer,423,https://images.brickset.com/sets/small/8099-1.jpg?201006270420
8128,Cad Bane's Speeder,318,https://images.brickset.com/sets/small/8128-1.jpg?201005181219
8129,AT-AT Walker,815,https://images.brickset.com/sets/small/8129-1.jpg?201006270420
9488,Elite Clone Trooper & Commando Droid Battle Pack,98,https://images.brickset.com/sets/small/9488-1.jpg?201110150700
9489,Endor Rebel Trooper & Imperial Trooper Battle Pack,77,https://images.brickset.com/sets/small/9489-1.jpg?201110150700
9490,Droid Escape,137,https://images.brickset.com/sets/small/9490-1.jpg?201110150700
9491,Geonosian Cannon,132,https://images.brickset.com/sets/small/9491-1.jpg?201110221038
9492,TIE Fighter,413,https://images.brickset.com/sets/small/9492-1.jpg?201110150700
9493,X-wing Starfighter,560,https://images.brickset.com/sets/small/9493-1.jpg?201110150700
9494,Anakin's Jedi Interceptor,300,https://images.brickset.com/sets/small/9494-1.jpg?201110150700
9495,Gold Leader's Y-wing Starfighter,458,https://images.brickset.com/sets/small/9495-1.jpg?201110170336
9496,Desert Skiff,213,https://images.brickset.com/sets/small/9496-1.jpg?201205010252
9497,Republic Striker-class Starfighter,376,https://images.brickset.com/sets/small/9497-1.jpg?201205010252
9498,Saesee Tiin's Jedi Starfighter,244,https://images.brickset.com/sets/small/9498-1.jpg?201205010252
9499,Gungan Sub,465,https://images.brickset.com/sets/small/9499-1.jpg?201205010252
9500,Sith Fury-class Interceptor,748,https://images.brickset.com/sets/small/9500-1.jpg?201205010252
9509,LEGO Star Wars Advent Calendar,234,https://images.brickset.com/sets/small/9509-1.jpg?201605181111
9515,The Malevolence,1101,https://images.brickset.com/sets/small/9515-1.jpg?201205010252
